Word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,mean_Clusters
appropriate,4,7,3,3,2,4,5,5,4,2,4,2,9,7,2,5,2,2,4,4,7,4,2,9,5,0,2,1.07,0,30,1,657,Adjective,4.28
approval,3,4,3,2,2,7,2,2,2,2,3,2,2,2,3,3,2,2,8,5,5,2,2,3,3,0,2.33,1.05,0,28,1,428,Noun,3.04
area,4,5,5,2,2,2,8,4,7,3,8,3,3,2,4,4,6,4,2,6,3,8,3,5,4,0,3.72,1.28,0,29,1,3821,Noun,4.28
arm,2,3,4,2,3,3,2,2,3,3,5,3,3,3,2,3,2,2,3,4,4,4,2,3,2,0,4.96,0.19,0,29,1,3336,Noun,2.88
army,6,3,6,2,3,4,7,5,5,6,2,3,2,2,5,4,5,4,2,9,2,6,2,3,2,0,4.7,0.6,0,29,1,4370,Noun,4
around,2,2,3,2,3,2,9,3,4,2,5,8,3,2,2,4,4,4,2,8,2,2,6,2,2,0,1.96,1.17,0,29,1,37573,Adverb,3.52
arrange,2,2,2,4,5,3,3,2,2,2,4,3,3,5,3,4,5,2,5,5,3,4,2,3,2,0,2.79,1.35,0,28,1,791,Verb,3.2
arrangement,10,10,5,8,7,8,8,2,4,7,3,2,8,3,3,6,7,2,5,2,8,2,4,8,4,0,2.3,1.18,0,28,1,482,Noun,5.44
artillery,4,4,4,4,4,4,4,3,2,4,3,2,3,4,5,4,4,4,5,4,4,3,4,3,4,0,4.31,1.17,1,29,0.966666667,280,Noun,3.72
aside,2,4,2,5,5,2,4,5,4,5,5,5,4,2,2,2,4,3,4,3,5,4,2,3,2,0,2.21,1.21,0,30,1,1212,Adverb,3.52
ask,2,5,6,4,6,2,3,3,2,5,2,3,2,3,7,8,3,2,10,2,6,5,2,2,2,0,2.52,1.58,0,27,1,24640,Verb,3.88
aspect,8,10,2,7,4,2,7,10,4,7,3,3,3,2,4,6,5,3,2,6,10,10,3,9,8,0,1.82,1.1,35,28,0.994045594,197,Noun,5.52
assignment,6,5,2,3,3,5,2,7,5,4,2,6,6,3,6,4,3,5,3,4,3,3,2,4,3,0,3.86,1.35,0,29,1,912,Noun,3.96
assume,8,5,4,2,3,3,2,9,3,6,2,2,2,2,6,2,2,2,5,5,2,2,4,2,9,0,1.75,1.04,1,27,0.965517241,1707,Verb,3.76
assumption,2,2,5,4,2,3,8,4,2,4,3,3,2,4,2,2,3,2,3,6,5,6,9,4,4,0,1.84,1.04,0,28,1,170,Noun,3.76
assurance,2,5,3,4,3,4,4,2,4,4,4,5,2,3,2,2,2,4,3,5,5,2,3,2,5,0,1.76,1.02,0,28,1,104,Noun,3.36
assure,6,6,2,6,6,2,7,5,5,4,2,2,7,2,6,4,6,5,4,5,7,5,4,2,6,0,2.43,1.38,0,27,1,1021,Verb,4.64
atmosphere,2,6,8,2,2,7,9,9,2,3,3,2,2,2,2,2,10,3,5,4,3,3,3,2,3,0,3.04,1.45,0,28,1,493,Noun,3.96
attach,2,2,3,4,2,5,2,3,5,2,4,3,3,2,7,3,7,4,3,4,6,2,2,2,2,0,3.33,1.24,0,28,1,126,Verb,3.36
attack,2,3,2,2,3,9,4,6,4,2,2,2,4,2,4,2,3,2,4,2,2,3,2,3,2,0,3.71,1.18,0,29,1,3853,Noun,3.04
attend,8,6,2,5,5,7,8,7,10,3,2,8,2,2,2,2,2,7,10,3,10,5,2,10,2,0,3.17,1.2,0,28,1,715,Verb,5.2
attention,2,4,9,2,8,7,4,5,7,7,4,5,2,2,6,5,5,7,4,10,4,3,2,3,2,0,2.3,1.32,0,28,1,5032,Noun,4.76
attitude,9,2,2,3,8,8,3,6,7,2,10,3,6,3,2,2,4,2,2,6,2,2,7,2,4,0,1.97,1.02,0,28,1,1330,Noun,4.28
audience,5,3,4,5,2,2,2,7,2,6,5,2,2,5,9,3,4,9,7,10,3,10,3,2,10,0,4.29,0.9,0,29,1,1294,Noun,4.88
authority,2,5,3,7,2,7,2,5,3,6,7,2,3,4,3,4,2,3,3,4,2,3,2,5,2,0,2.34,1.29,0,28,1,1082,Noun,3.64
average,3,6,3,3,7,6,5,2,2,3,6,9,7,9,2,4,2,3,8,2,2,4,3,2,2,0,2.4,1.13,0,30,1,849,Adjective,4.2
award,9,9,9,3,5,2,10,9,2,2,3,2,6,9,6,2,10,2,6,3,2,10,8,5,8,0,4.14,1.01,0,29,1,657,Noun,5.68
away,2,3,2,3,2,6,2,4,2,4,3,2,2,2,2,3,2,4,2,8,2,8,3,6,2,0,2.23,1.41,0,30,1,37276,Adverb,3.24
back,5,3,4,2,6,2,2,5,4,3,6,2,2,2,2,2,3,3,3,2,2,2,4,4,5,0,4.33,1.15,0,30,1,102467,Adverb,3.2
